emp_no,salary,from_date,to_date
10006,47518,8/4/1994,8/4/1995
10006,47917,8/4/1995,8/3/1996
10006,52255,8/3/1996,8/3/1997
10006,53747,8/3/1997,8/3/1998
10006,56032,8/3/1998,8/3/1999
10006,58299,8/3/1999,8/2/2000
10006,60098,8/2/2000,8/2/2001
10006,59755,8/2/2001,1/1/9999
10007,56724,2/10/1989,2/10/1990
10007,60740,2/10/1990,2/10/1991
10007,62745,2/10/1991,2/10/1992
10007,63475,2/10/1992,2/9/1993
10007,63208,2/9/1993,2/9/1994
10007,64563,2/9/1994,2/9/1995
10007,68833,2/9/1995,2/9/1996
10007,70220,2/9/1996,2/8/1997
10007,73362,2/8/1997,2/8/1998
10007,75582,2/8/1998,2/8/1999
10007,79513,2/8/1999,2/8/2000
10007,80083,2/8/2000,2/7/2001
10007,84456,2/7/2001,2/7/2002
10007,88070,2/7/2002,1/1/9999
10008,46671,3/11/1998,3/11/1999
10008,48584,3/11/1999,3/10/2000
10008,52668,3/10/2000,7/31/2000
10009,60929,2/18/1985,2/18/1986
10009,64604,2/18/1986,2/18/1987
10009,64780,2/18/1987,2/18/1988
10009,66302,2/18/1988,2/17/1989
10009,69042,2/17/1989,2/17/1990
10009,70889,2/17/1990,2/17/1991
10009,71434,2/17/1991,2/17/1992
10009,74612,2/17/1992,2/16/1993
10009,76518,2/16/1993,2/16/1994
10009,78335,2/16/1994,2/16/1995
10009,80944,2/16/1995,2/16/1996
10009,82507,2/16/1996,2/15/1997
10009,85875,2/15/1997,2/15/1998
10009,89324,2/15/1998,2/15/1999
10009,90668,2/15/1999,2/15/2000
10009,93507,2/15/2000,2/14/2001
10009,94443,2/14/2001,2/14/2002
10009,94409,2/14/2002,1/1/9999
10010,72488,11/24/1996,11/24/1997
10010,74347,11/24/1997,11/24/1998
10010,75405,11/24/1998,11/24/1999
10010,78194,11/24/1999,11/23/2000
10010,79580,11/23/2000,11/23/2001
10010,80324,11/23/2001,1/1/9999
10011,42365,1/22/1990,1/22/1991
10011,44200,1/22/1991,1/22/1992
10011,48214,1/22/1992,1/21/1993
10011,50927,1/21/1993,1/21/1994
10011,51470,1/21/1994,1/21/1995
10011,54545,1/21/1995,1/21/1996
10011,56753,1/21/1996,11/9/1996
10012,40000,12/18/1992,12/18/1993
10012,41867,12/18/1993,12/18/1994
10012,42318,12/18/1994,12/18/1995
10012,44195,12/18/1995,12/17/1996
10012,46460,12/17/1996,12/17/1997
10012,46485,12/17/1997,12/17/1998
10012,47364,12/17/1998,12/17/1999
10012,51122,12/17/1999,12/16/2000
10012,54794,12/16/2000,12/16/2001
10012,54423,12/16/2001,1/1/9999
10013,40000,10/20/1985,10/20/1986
10013,40623,10/20/1986,10/20/1987
10013,40561,10/20/1987,10/19/1988
10013,40306,10/19/1988,10/19/1989
10013,43569,10/19/1989,10/19/1990
10013,46305,10/19/1990,10/19/1991
10013,47118,10/19/1991,10/18/1992
10013,50351,10/18/1992,10/18/1993
10013,49887,10/18/1993,10/18/1994
10013,53957,10/18/1994,10/18/1995
10013,57590,10/18/1995,10/17/1996
10013,59228,10/17/1996,10/17/1997
10013,59571,10/17/1997,10/17/1998
10013,63274,10/17/1998,10/17/1999
10013,63352,10/17/1999,10/16/2000
10013,66744,10/16/2000,10/16/2001
10013,68901,10/16/2001,1/1/9999
10014,46168,12/29/1993,12/29/1994
10014,48242,12/29/1994,12/29/1995
10014,47921,12/29/1995,12/28/1996
10014,50715,12/28/1996,12/28/1997
10014,53228,12/28/1997,12/28/1998
10014,53962,12/28/1998,12/28/1999
10014,56937,12/28/1999,12/27/2000
10014,59142,12/27/2000,12/27/2001
10014,60598,12/27/2001,1/1/9999
10015,40000,9/19/1992,8/22/1993
10016,70889,2/11/1998,2/11/1999
10016,72946,2/11/1999,2/11/2000
10016,76826,2/11/2000,2/10/2001
10016,76381,2/10/2001,2/10/2002
10016,77935,2/10/2002,1/1/9999
10017,71380,8/3/1993,8/3/1994
10017,75538,8/3/1994,8/3/1995
10017,79510,8/3/1995,8/2/1996
10017,82163,8/2/1996,8/2/1997
10017,86157,8/2/1997,8/2/1998
10017,89619,8/2/1998,8/2/1999
10017,91985,8/2/1999,8/1/2000
10017,96122,8/1/2000,8/1/2001
10017,98522,8/1/2001,8/1/2002
10017,99651,8/1/2002,1/1/9999
10018,55881,4/3/1987,4/2/1988
10018,59206,4/2/1988,4/2/1989
10018,61361,4/2/1989,4/2/1990
10018,61648,4/2/1990,4/2/1991
10018,61217,4/2/1991,4/1/1992
10018,61244,4/1/1992,4/1/1993
10018,63286,4/1/1993,4/1/1994
10018,65739,4/1/1994,4/1/1995
10018,67519,4/1/1995,3/31/1996
10018,69276,3/31/1996,3/31/1997
10018,72585,3/31/1997,3/31/1998
10018,72804,3/31/1998,3/31/1999
10018,76957,3/31/1999,3/30/2000
10018,80305,3/30/2000,3/30/2001
10018,84541,3/30/2001,3/30/2002
10018,84672,3/30/2002,1/1/9999
10019,44276,4/30/1999,4/29/2000
10019,46946,4/29/2000,4/29/2001
10019,46775,4/29/2001,4/29/2002
10019,50032,4/29/2002,1/1/9999
10020,40000,12/30/1997,12/30/1998
10020,40647,12/30/1998,12/30/1999
10020,43800,12/30/1999,12/29/2000
10020,44927,12/29/2000,12/29/2001
10020,47017,12/29/2001,1/1/9999
10021,55025,2/10/1988,2/9/1989
10021,56399,2/9/1989,2/9/1990
10021,59700,2/9/1990,2/9/1991
10021,60851,2/9/1991,2/9/1992
10021,61117,2/9/1992,2/8/1993
10021,60708,2/8/1993,2/8/1994
10021,63514,2/8/1994,2/8/1995
10021,66249,2/8/1995,2/8/1996
10021,70570,2/8/1996,2/7/1997
10021,74759,2/7/1997,2/7/1998
10021,77519,2/7/1998,2/7/1999
10021,77237,2/7/1999,2/7/2000
10021,79631,2/7/2000,2/6/2001
10021,82295,2/6/2001,2/6/2002
10021,84169,2/6/2002,7/15/2002
10022,40000,9/3/1999,9/2/2000
10022,39935,9/2/2000,9/2/2001
10022,41348,9/2/2001,1/1/9999
10023,47883,9/27/1999,9/26/2000
10023,50319,9/26/2000,9/26/2001
10023,50113,9/26/2001,1/1/9999
10024,83733,6/14/1998,6/14/1999
10024,86715,6/14/1999,6/13/2000
10024,91067,6/13/2000,6/13/2001
10024,94701,6/13/2001,6/13/2002
10024,96646,6/13/2002,1/1/9999
10025,40000,8/17/1987,8/16/1988
10025,44416,8/16/1988,8/16/1989
10025,48680,8/16/1989,8/16/1990
10025,50120,8/16/1990,8/16/1991
10025,50980,8/16/1991,8/15/1992
10025,54459,8/15/1992,8/15/1993
10025,54395,8/15/1993,8/15/1994
10025,56643,8/15/1994,8/15/1995
10025,57585,8/15/1995,8/14/1996
10025,57110,8/14/1996,8/14/1997
10025,57157,8/14/1997,10/15/1997
10026,47585,3/20/1995,3/19/1996
10026,51730,3/19/1996,3/19/1997
10026,53682,3/19/1997,3/19/1998
10026,56769,3/19/1998,3/19/1999
10026,60397,3/19/1999,3/18/2000
10026,64132,3/18/2000,3/18/2001
10026,65415,3/18/2001,3/18/2002
10026,66313,3/18/2002,1/1/9999
10027,40000,4/2/1995,4/1/1996
10027,39520,4/1/1996,4/1/1997
10027,42382,4/1/1997,4/1/1998
10027,43654,4/1/1998,4/1/1999
10027,43925,4/1/1999,3/31/2000
10027,45157,3/31/2000,3/31/2001
10027,45771,3/31/2001,3/31/2002
10027,46145,3/31/2002,1/1/9999
10028,48859,10/22/1991,10/21/1992
10028,50805,10/21/1992,10/21/1993
10028,52082,10/21/1993,10/21/1994
10028,54949,10/21/1994,10/21/1995
10028,55963,10/21/1995,10/20/1996
10028,57831,10/20/1996,10/20/1997
10028,58502,10/20/1997,4/6/1998
10029,63163,9/18/1991,9/17/1992
10029,66877,9/17/1992,9/17/1993
10029,69211,9/17/1993,9/17/1994
10029,70624,9/17/1994,9/17/1995
10029,70294,9/17/1995,9/16/1996
10029,70671,9/16/1996,9/16/1997
10029,73510,9/16/1997,9/16/1998
10029,75773,9/16/1998,9/16/1999
10029,76067,9/16/1999,9/15/2000
10029,76608,9/15/2000,9/15/2001
10029,77777,9/15/2001,1/1/9999
10030,66956,2/17/1994,2/17/1995
10030,68393,2/17/1995,2/17/1996
10030,72795,2/17/1996,2/16/1997
10030,76453,2/16/1997,2/16/1998
10030,79290,2/16/1998,2/16/1999
10030,83327,2/16/1999,2/16/2000
10030,86634,2/16/2000,2/15/2001
10030,87027,2/15/2001,2/15/2002
10030,88806,2/15/2002,1/1/9999
10031,40000,9/1/1991,8/31/1992
10031,40859,8/31/1992,8/31/1993
10031,41881,8/31/1993,8/31/1994
10031,44191,8/31/1994,8/31/1995
10031,47202,8/31/1995,8/30/1996
10031,47606,8/30/1996,8/30/1997
10031,50810,8/30/1997,8/30/1998
10031,52675,8/30/1998,8/30/1999
10031,54177,8/30/1999,8/29/2000
10031,53873,8/29/2000,8/29/2001
10031,56689,8/29/2001,1/1/9999
10032,48426,6/20/1990,6/20/1991
10032,49389,6/20/1991,6/19/1992
10032,52000,6/19/1992,6/19/1993
10032,53038,6/19/1993,6/19/1994
10032,54336,6/19/1994,6/19/1995
10032,53978,6/19/1995,6/18/1996
10032,55090,6/18/1996,6/18/1997
10032,57110,6/18/1997,6/18/1998
10032,57926,6/18/1998,6/18/1999
10032,57876,6/18/1999,6/17/2000
10032,61709,6/17/2000,6/17/2001
10032,65820,6/17/2001,6/17/2002
10032,69539,6/17/2002,1/1/9999
10033,51258,3/18/1987,3/17/1988
10033,54972,3/17/1988,3/17/1989
10033,55410,3/17/1989,3/17/1990
10033,56095,3/17/1990,3/17/1991
10033,56038,3/17/1991,3/16/1992
10033,57712,3/16/1992,3/16/1993
10033,60433,3/16/1993,3/24/1993
10034,47561,4/12/1995,4/11/1996
10034,51192,4/11/1996,4/11/1997
10034,52687,4/11/1997,4/11/1998
10034,53112,4/11/1998,4/11/1999
10034,53164,4/11/1999,10/31/1999
10035,41538,9/5/1988,9/5/1989
10035,45131,9/5/1989,9/5/1990
10035,45629,9/5/1990,9/5/1991
10035,48360,9/5/1991,9/4/1992
10035,50664,9/4/1992,9/4/1993
10035,53060,9/4/1993,9/4/1994
10035,56640,9/4/1994,9/4/1995
10035,57621,9/4/1995,9/3/1996
10035,59291,9/3/1996,9/3/1997
10035,61793,9/3/1997,9/3/1998
10035,62285,9/3/1998,9/3/1999
10035,65332,9/3/1999,9/2/2000
10035,66584,9/2/2000,9/2/2001
10035,68755,9/2/2001,1/1/9999
10036,42819,4/28/1992,4/28/1993
10036,46756,4/28/1993,4/28/1994
10036,51084,4/28/1994,4/28/1995
10036,52308,4/28/1995,4/27/1996
10036,53828,4/27/1996,4/27/1997
10036,54408,4/27/1997,4/27/1998
10036,53929,4/27/1998,4/27/1999
10036,56579,4/27/1999,4/26/2000
10036,60478,4/26/2000,4/26/2001
10036,60520,4/26/2001,4/26/2002
10036,63053,4/26/2002,1/1/9999
10037,40000,12/5/1990,12/5/1991
10037,39765,12/5/1991,12/4/1992
10037,43565,12/4/1992,12/4/1993
10037,43104,12/4/1993,12/4/1994
10037,46100,12/4/1994,12/4/1995
10037,49735,12/4/1995,12/3/1996
10037,51775,12/3/1996,12/3/1997
10037,53198,12/3/1997,12/3/1998
10037,56270,12/3/1998,12/3/1999
10037,59882,12/3/1999,12/2/2000
10037,60992,12/2/2000,12/2/2001
10037,60574,12/2/2001,1/1/9999
10038,40000,9/20/1989,9/20/1990
10038,43527,9/20/1990,9/20/1991
10038,46509,9/20/1991,9/19/1992
10038,49874,9/19/1992,9/19/1993
10038,52969,9/19/1993,9/19/1994
10038,56629,9/19/1994,9/19/1995
10038,58079,9/19/1995,9/18/1996
10038,60322,9/18/1996,9/18/1997
10038,62274,9/18/1997,9/18/1998
10038,62517,9/18/1998,9/18/1999
10038,62458,9/18/1999,9/17/2000
10038,64238,9/17/2000,9/17/2001
10038,64254,9/17/2001,1/1/9999
10039,40000,1/19/1988,1/18/1989
10039,41525,1/18/1989,1/18/1990
10039,43801,1/18/1990,1/18/1991
10039,46278,1/18/1991,1/18/1992
10039,45838,1/18/1992,1/17/1993
10039,49155,1/17/1993,1/17/1994
10039,52999,1/17/1994,1/17/1995
10039,55037,1/17/1995,1/17/1996
10039,54937,1/17/1996,1/16/1997
10039,55204,1/16/1997,1/16/1998
10039,59593,1/16/1998,1/16/1999
10039,62131,1/16/1999,1/16/2000
10039,61774,1/16/2000,1/15/2001
10039,63592,1/15/2001,1/15/2002
10039,63918,1/15/2002,1/1/9999
10040,52153,2/14/1993,2/14/1994
10040,53533,2/14/1994,2/14/1995
10040,56565,2/14/1995,2/14/1996
10040,60260,2/14/1996,2/13/1997
10040,62101,2/13/1997,2/13/1998
10040,63870,2/13/1998,2/13/1999
10040,64570,2/13/1999,2/13/2000
10040,67016,2/13/2000,2/12/2001
10040,68185,2/12/2001,2/12/2002
10040,72668,2/12/2002,1/1/9999
10041,56893,11/12/1989,11/12/1990
10041,60824,11/12/1990,11/12/1991
10041,63116,11/12/1991,11/11/1992
10041,64128,11/11/1992,11/11/1993
10041,65615,11/11/1993,11/11/1994
10041,69768,11/11/1994,11/11/1995
10041,70216,11/11/1995,11/10/1996
10041,71322,11/10/1996,11/10/1997
10041,74575,11/10/1997,11/10/1998
10041,75544,11/10/1998,11/10/1999
10041,79746,11/10/1999,11/9/2000
10041,81012,11/9/2000,11/9/2001
10041,81705,11/9/2001,1/1/9999
10042,81662,3/21/1993,3/21/1994
10042,84183,3/21/1994,3/21/1995
10042,84389,3/21/1995,3/20/1996
10042,85501,3/20/1996,3/20/1997
10042,89833,3/20/1997,3/20/1998
10042,91161,3/20/1998,3/20/1999
10042,95035,3/20/1999,3/19/2000
10042,94868,3/19/2000,8/10/2000
10043,49324,10/20/1990,10/20/1991
10043,51948,10/20/1991,10/19/1992
10043,54011,10/19/1992,10/19/1993
10043,58302,10/19/1993,10/19/1994
10043,62291,10/19/1994,10/19/1995
10043,65669,10/19/1995,10/18/1996
10043,65562,10/18/1996,10/18/1997
10043,68328,10/18/1997,10/18/1998
10043,70689,10/18/1998,10/18/1999
10043,72543,10/18/1999,10/17/2000
10043,76677,10/17/2000,10/17/2001
10043,77659,10/17/2001,1/1/9999
10044,40919,5/21/1994,5/21/1995
10044,45217,5/21/1995,5/20/1996
10044,46674,5/20/1996,5/20/1997
10044,48623,5/20/1997,5/20/1998
10044,51377,5/20/1998,5/20/1999
10044,53186,5/20/1999,5/19/2000
10044,56058,5/19/2000,5/19/2001
10044,56810,5/19/2001,5/19/2002
10044,58345,5/19/2002,1/1/9999
10045,41971,11/16/1996,11/16/1997
10045,42914,11/16/1997,11/16/1998
10045,43046,11/16/1998,11/16/1999
10045,43838,11/16/1999,11/15/2000
10045,47984,11/15/2000,11/15/2001
10045,47581,11/15/2001,1/1/9999
10046,40000,6/20/1992,6/20/1993
10046,42385,6/20/1993,6/20/1994
10046,43485,6/20/1994,6/20/1995
10046,43203,6/20/1995,6/19/1996
10046,45150,6/19/1996,6/19/1997
10046,48222,6/19/1997,6/19/1998
10046,50853,6/19/1998,6/19/1999
10046,52271,6/19/1999,6/18/2000
10046,56481,6/18/2000,6/18/2001
10046,60249,6/18/2001,6/18/2002
10046,62218,6/18/2002,1/1/9999
10047,54982,3/31/1989,3/31/1990
10047,57350,3/31/1990,3/31/1991
10047,59571,3/31/1991,3/30/1992
10047,62851,3/30/1992,3/30/1993
10047,65225,3/30/1993,3/30/1994
10047,66330,3/30/1994,3/30/1995
10047,69992,3/30/1995,3/29/1996
10047,73376,3/29/1996,3/29/1997
10047,74735,3/29/1997,3/29/1998
10047,75748,3/29/1998,3/29/1999
10047,77149,3/29/1999,3/28/2000
10047,78399,3/28/2000,3/28/2001
10047,78569,3/28/2001,3/28/2002
10047,81037,3/28/2002,1/1/9999
10048,40000,2/24/1985,2/24/1986
10048,39507,2/24/1986,1/27/1987
10049,40000,5/4/1992,5/4/1993
10049,39735,5/4/1993,5/4/1994
10049,40484,5/4/1994,5/4/1995
10049,41291,5/4/1995,5/3/1996
10049,41301,5/3/1996,5/3/1997
10049,41957,5/3/1997,5/3/1998
10049,41788,5/3/1998,5/3/1999
10049,44620,5/3/1999,5/2/2000
10049,45933,5/2/2000,5/2/2001
10049,48575,5/2/2001,5/2/2002
10049,51326,5/2/2002,1/1/9999
10050,74366,12/25/1990,12/25/1991
10050,78675,12/25/1991,12/24/1992
10050,82220,12/24/1992,12/24/1993
10050,86604,12/24/1993,12/24/1994
10050,88087,12/24/1994,12/24/1995
10050,88836,12/24/1995,12/23/1996
10050,90623,12/23/1996,12/23/1997
10050,91530,12/23/1997,12/23/1998
10050,93689,12/23/1998,12/23/1999
10050,97571,12/23/1999,12/22/2000
10050,97817,12/22/2000,12/22/2001
10050,97830,12/22/2001,1/1/9999
10051,48817,10/15/1992,10/15/1993
10051,50874,10/15/1993,10/15/1994
10051,52247,10/15/1994,10/15/1995
10051,56217,10/15/1995,10/14/1996
10051,59402,10/14/1996,10/14/1997
10051,59012,10/14/1997,10/14/1998
10051,61719,10/14/1998,10/14/1999
10051,61345,10/14/1999,10/13/2000
10051,61400,10/13/2000,10/13/2001
10051,64905,10/13/2001,1/1/9999
10052,57212,1/31/1997,1/31/1998
10052,56908,1/31/1998,1/31/1999
10052,60084,1/31/1999,1/31/2000
10052,63081,1/31/2000,1/30/2001
10052,66450,1/30/2001,1/30/2002
10052,67156,1/30/2002,1/1/9999
10053,67854,11/13/1994,11/13/1995
10053,67912,11/13/1995,11/12/1996
10053,71459,11/12/1996,11/12/1997
10053,71283,11/12/1997,11/12/1998
10053,74822,11/12/1998,11/12/1999
10053,77425,11/12/1999,11/11/2000
10053,77531,11/11/2000,11/11/2001
10053,78478,11/11/2001,1/1/9999
10054,40000,7/29/1995,7/28/1996
10054,42889,7/28/1996,7/28/1997
10054,42846,7/28/1997,7/28/1998
10054,44680,7/28/1998,7/28/1999
10054,44958,7/28/1999,7/27/2000
10054,49391,7/27/2000,7/27/2001
10054,52184,7/27/2001,7/27/2002
10054,53906,7/27/2002,1/1/9999
10055,80024,4/27/1992,4/27/1993
10055,83592,4/27/1993,4/27/1994
10055,87473,4/27/1994,4/27/1995
10055,90843,4/27/1995,7/22/1995
10056,48857,2/1/1990,2/1/1991
10056,51457,2/1/1991,2/1/1992
10056,53869,2/1/1992,1/31/1993
10056,54677,1/31/1993,1/31/1994
10056,56047,1/31/1994,1/31/1995
10056,59252,1/31/1995,1/31/1996
10056,61963,1/31/1996,1/30/1997
10056,65622,1/30/1997,1/30/1998
10056,67648,1/30/1998,1/30/1999
10056,70163,1/30/1999,1/30/2000
10056,69905,1/30/2000,1/29/2001
10056,74004,1/29/2001,1/29/2002
10056,74722,1/29/2002,1/1/9999
10057,49616,1/15/1992,1/14/1993
10057,53897,1/14/1993,1/14/1994
10057,58099,1/14/1994,1/14/1995
10057,58881,1/14/1995,1/14/1996
10057,61013,1/14/1996,1/13/1997
10057,61055,1/13/1997,1/13/1998
10057,61255,1/13/1998,1/13/1999
10057,60966,1/13/1999,1/13/2000
10057,63507,1/13/2000,1/12/2001
10057,66430,1/12/2001,1/12/2002
10057,68061,1/12/2002,1/1/9999
10058,52787,4/25/1988,4/25/1989
10058,53377,4/25/1989,4/25/1990
10058,53869,4/25/1990,4/25/1991
10058,55134,4/25/1991,4/24/1992
10058,57882,4/24/1992,4/24/1993
10058,58807,4/24/1993,4/24/1994
10058,63284,4/24/1994,4/24/1995
10058,63666,4/24/1995,4/23/1996
10058,65706,4/23/1996,4/23/1997
10058,67913,4/23/1997,4/23/1998
10058,68623,4/23/1998,4/23/1999
10058,71438,4/23/1999,4/22/2000
10058,72151,4/22/2000,4/22/2001
10058,72363,4/22/2001,4/22/2002
10058,72542,4/22/2002,1/1/9999
10059,71218,6/26/1991,6/25/1992
10059,73299,6/25/1992,6/25/1993
10059,76448,6/25/1993,6/25/1994
10059,80739,6/25/1994,6/25/1995
10059,82318,6/25/1995,6/24/1996
10059,84522,6/24/1996,6/24/1997
10059,86290,6/24/1997,6/24/1998
10059,89824,6/24/1998,6/24/1999
10059,90380,6/24/1999,6/23/2000
10059,90689,6/23/2000,6/23/2001
10059,93280,6/23/2001,6/23/2002
10059,94161,6/23/2002,1/1/9999
10060,74686,5/28/1989,5/28/1990
10060,75594,5/28/1990,5/28/1991
10060,77772,5/28/1991,5/27/1992
10060,78393,5/27/1992,5/27/1993
10060,77964,5/27/1993,5/27/1994
10060,78057,5/27/1994,5/27/1995
10060,78983,5/27/1995,5/26/1996
10060,79900,5/26/1996,5/26/1997
10060,79684,5/26/1997,5/26/1998
10060,84052,5/26/1998,5/26/1999
10060,85960,5/26/1999,5/25/2000
10060,87773,5/25/2000,5/25/2001
10060,89769,5/25/2001,5/25/2002
10060,93188,5/25/2002,1/1/9999
10061,68577,12/2/1989,12/2/1990
10061,71135,12/2/1990,12/2/1991
10061,72464,12/2/1991,12/1/1992
10061,74796,12/1/1992,12/1/1993
10061,74944,12/1/1993,12/1/1994
10061,79041,12/1/1994,12/1/1995
10061,80248,12/1/1995,11/30/1996
10061,84445,11/30/1996,11/30/1997
10061,88012,11/30/1997,11/30/1998
10061,90972,11/30/1998,11/30/1999
10061,91371,11/30/1999,11/29/2000
10061,95866,11/29/2000,11/29/2001
10061,97338,11/29/2001,1/1/9999
10062,55685,8/30/1991,8/29/1992
10062,59029,8/29/1992,8/29/1993
10062,60089,8/29/1993,8/29/1994
10062,62194,8/29/1994,8/29/1995
10062,61761,8/29/1995,8/28/1996
10062,65275,8/28/1996,8/28/1997
10062,65544,8/28/1997,8/28/1998
10062,66167,8/28/1998,8/28/1999
10062,66447,8/28/1999,8/27/2000
10062,68784,8/27/2000,8/27/2001
10062,68559,8/27/2001,1/1/9999
10063,40000,4/8/1989,4/8/1990
10063,41990,4/8/1990,4/8/1991
10063,44342,4/8/1991,4/7/1992
10063,48429,4/7/1992,4/7/1993
10063,52466,4/7/1993,4/7/1994
10063,54823,4/7/1994,4/7/1995
10063,56442,4/7/1995,4/5/1996
10063,60165,4/5/1996,4/5/1997
10063,63852,4/5/1997,4/6/1998
10063,65262,4/6/1998,4/6/1999
10063,69354,4/6/1999,4/5/2000
10063,71028,4/5/2000,4/5/2001
10063,73393,4/5/2001,4/4/2002
10063,74841,4/4/2002,1/1/9999
10064,40000,11/20/1985,11/20/1986
10064,39551,11/20/1986,11/20/1987
10064,41264,11/20/1987,11/19/1988
10064,40795,11/19/1988,11/19/1989
10064,43466,11/19/1989,11/19/1990
10064,45895,11/19/1990,11/19/1991
10064,48454,11/19/1991,3/2/1992
10065,40000,5/24/1998,5/24/1999
10065,40503,5/24/1999,5/23/2000
10065,42031,5/23/2000,5/23/2001
10065,43655,5/23/2001,5/23/2002
10065,47437,5/23/2002,1/1/9999
10066,69736,2/26/1986,2/26/1987
10066,72147,2/26/1987,2/26/1988
10066,76616,2/26/1988,2/25/1989
10066,78885,2/25/1989,2/25/1990
10066,82819,2/25/1990,2/25/1991
10066,84064,2/25/1991,2/25/1992
10066,84161,2/25/1992,2/24/1993
10066,84368,2/24/1993,2/24/1994
10066,88392,2/24/1994,2/24/1995
10066,88808,2/24/1995,2/24/1996
10066,92405,2/24/1996,2/23/1997
10066,96451,2/23/1997,2/23/1998
10066,98656,2/23/1998,2/23/1999
10066,99199,2/23/1999,2/23/2000
10066,102425,2/23/2000,2/22/2001
10066,102674,2/22/2001,2/22/2002
10066,103672,2/22/2002,1/1/9999
10067,44642,3/4/1987,3/3/1988
10067,47879,3/3/1988,3/3/1989
10067,47733,3/3/1989,3/3/1990
10067,51396,3/3/1990,3/3/1991
10067,52808,3/3/1991,3/2/1992
10067,56581,3/2/1992,3/2/1993
10067,58363,3/2/1993,3/2/1994
10067,62607,3/2/1994,3/2/1995
10067,66769,3/2/1995,3/1/1996
10067,70158,3/1/1996,3/1/1997
10067,73730,3/1/1997,3/1/1998
10067,74242,3/1/1998,3/1/1999
10067,75732,3/1/1999,2/29/2000
10067,77620,2/29/2000,2/28/2001
10067,81784,2/28/2001,2/28/2002
10067,83254,2/28/2002,1/1/9999
10068,87964,8/7/1987,8/6/1988
10068,92176,8/6/1988,8/6/1989
10068,92089,8/6/1989,8/6/1990
10068,93474,8/6/1990,8/6/1991
10068,94724,8/6/1991,8/5/1992
10068,97058,8/5/1992,8/5/1993
10068,100005,8/5/1993,8/5/1994
10068,101829,8/5/1994,8/5/1995
10068,101630,8/5/1995,8/4/1996
10068,105533,8/4/1996,8/4/1997
10068,106204,8/4/1997,8/4/1998
10068,108345,8/4/1998,8/4/1999
10068,111623,8/4/1999,8/3/2000
10068,112470,8/3/2000,8/3/2001
10068,113229,8/3/2001,1/1/9999
10069,67932,6/14/1992,6/14/1993
10069,68046,6/14/1993,6/14/1994
10069,67675,6/14/1994,6/14/1995
10069,69876,6/14/1995,6/13/1996
10069,70464,6/13/1996,6/13/1997
10069,71574,6/13/1997,6/13/1998
10069,74638,6/13/1998,6/13/1999
10069,79102,6/13/1999,6/12/2000
10069,82731,6/12/2000,6/12/2001
10069,85931,6/12/2001,6/12/2002
10069,86641,6/12/2002,1/1/9999
10070,55999,10/14/1985,10/14/1986
10070,56848,10/14/1986,10/14/1987
10070,61306,10/14/1987,10/13/1988
